,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2005,78.55855510752694,83.554806547619,97.7426411290323,99.75405555555561,113.53898521505376,113.77159027777786,102.78444220430126,103.40313844086025,147.2506180555554,141.5500940860214,118.43523611111104,117.20489919354806
2006,109.74174059139804,106.70433779761913,124.29416666666673,127.37969444444443,154.97466397849436,136.07590277777763,153.87106854838714,167.40911962365595,130.24751388888868,143.65528225806472,117.33039583333318,114.24583333333332
2007,123.87219758064545,126.85434523809519,124.59522177419348,114.16990972222226,109.82587365591411,117.52930555555551,124.90803763440876,120.37285618279591,126.77840972222222,126.38255376344075,139.59725000000043,140.15479166666677
2008,158.0888911290324,149.3009554597703,146.97257392473114,173.43938888888886,202.65875672043,185.00737499999983,195.0364112903227,199.62278225806472,193.20164583333366,171.7575067204299,103.62103472222215,67.71307123655926
2009,73.98254704301056,95.74505208333342,87.17844758064504,199.13804861111097,167.41436155913993,189.62475694444447,141.3489986559142,161.72427419354844,173.17649305555565,191.53763440860232,142.6770347222221,148.04791666666682
2010,171.34726478494645,195.63709077380932,207.3512634408604,162.61108333333354,185.2690793010754,172.7612777777776,147.34098118279547,144.23303091397884,151.6581597222223,162.14096102150538,175.06361111111136,172.45469758064493
2011,156.73543010752684,163.95862351190476,186.95440188172051,215.30731249999968,278.58637768817215,236.1843055555559,263.39565860215004,258.5775134408603,230.18580555555596,186.45323252688166,210.62213888888917,187.22325268817224
2012,210.48272849,228.3494181,243.34644489,245.62159028,266.14284946,247.80959028,210.96174059,212.2206922,199.28432639,194.44159274,218.67110417,193.61287634
2013,191.61791667,166.35494792,166.19971102,178.973,173.83283602,201.37291667,172.73653898,199.62625,163.29036806,159.35202285,158.19326389,146.93360887
2014,138.69106855,142.88314732,136.02504032,150.13173611,132.84098118,141.73315278,155.73754704,140.46034946,138.03407639,136.71624328,135.34299306,92.592251344
2015,90.62432123655914,93.2904538690477,81.7221169354838,98.09504861111112,103.18344086021526,107.83595833333321,207.0311021505374,102.42816532258064,81.48693055555547,66.86554435483863,56.837854166666595,60.65937500000002
2016,74.8935887096775,49.063850574712575,44.8114045698924,43.60493749999998,55.54338709677423,49.10243055555549,62.93543010752695,67.1150940860216,77.71649999999997,71.88626344086028,72.99086111111114,88.43058467741938
2017,84.56482526881712,84.74936755952395,76.41898521505365,82.67995833333339,82.49933467741951,84.1330208333333,79.20500672043012,73.39893145161285,74.77189583333329,77.55025537634417,83.82447222222214,87.44370295698917
2018,86.10452284946233,98.57390625000009,104.3118951612902,103.32861805555551,112.56420026881742,110.7090902777779,108.06049731182799,112.88515456989253,117.32765972222234,154.0239045698923,114.21272916666672,100.44052419354823
2019,112.57115591397866,115.16892857142832,113.53721102150551,99.62299999999988,93.27629032258058,89.84224999999985,112.71651209677418,93.27790994623653,95.96764583333346,94.3927486559139,88.79481249999992,71.23857526881713
2020,84.14636424731175,88.6369324712644,69.71781586021514,55.23,49.97,46.91,60.05,67.9,73.94,67.44,92.27,84.69
2021,77.81,92.91,103.35,97.86,100.31,100.61,167.04,136.57,155.61,,,
